,Activity Period,Operating Airline,GEO Region,Terminal,Passenger Count,cluster
0,200507,ATA Airlines,US,Terminal 1,27271,4
1,200507,ATA Airlines,US,Terminal 1,29131,4
2,200507,ATA Airlines,US,Terminal 1,5415,4
3,200507,Air Canada ,Canada,Terminal 1,35156,13
4,200507,Air Canada ,Canada,Terminal 1,34090,13
5,200507,Air China,Asia,International,6263,0
6,200507,Air China,Asia,International,5500,0
7,200507,Air France,Europe,International,12050,1
8,200507,Air France,Europe,International,11638,1
9,200507,Air New Zealand,Australia / Oceania,International,4998,8
10,200507,Air New Zealand,Australia / Oceania,International,4962,8
11,200507,AirTran Airways,US,International,8055,6
12,200507,AirTran Airways,US,International,7984,6
13,200507,Alaska Airlines,US,International,36641,6
14,200507,Alaska Airlines,US,International,39379,6
15,200507,Alaska Airlines,US,International,3678,6
16,200507,Alaska Airlines,Canada,International,7977,5
17,200507,Alaska Airlines,Canada,International,8837,5
18,200507,Alaska Airlines,Mexico,International,6969,3
19,200507,Alaska Airlines,Mexico,International,10046,3
20,200507,Alaska Airlines,Mexico,International,2266,3
21,200507,All Nippon Airways,Asia,International,6545,0
22,200507,All Nippon Airways,Asia,International,6094,0
23,200507,American Airlines,US,Terminal 3,166577,7
24,200507,American Airlines,US,Terminal 3,160890,7
25,200507,American Eagle Airlines,US,Terminal 3,5493,7
26,200507,American Eagle Airlines,US,Terminal 3,5213,7
27,200507,Asiana Airlines,Asia,International,5041,0
28,200507,Asiana Airlines,Asia,International,4744,0
29,200507,Atlantic Southeast Airlines,US,Terminal 1,1552,4
30,200507,Atlantic Southeast Airlines,US,Terminal 1,1484,4
31,200507,BelAir Airlines,Europe,International,325,1
32,200507,BelAir Airlines,Europe,International,545,1
33,200507,British Airways,Europe,International,20632,1
34,200507,British Airways,Europe,International,21686,1
35,200507,Cathay Pacific,Asia,International,11010,0
36,200507,Cathay Pacific,Asia,International,9628,0
37,200507,China Airlines,Asia,International,13638,0
38,200507,China Airlines,Asia,International,11255,0
39,200507,Delta Air Lines,US,Terminal 1,97510,4
40,200507,Delta Air Lines,US,Terminal 1,93791,4
41,200507,EVA Airways,Asia,International,14142,0
42,200507,EVA Airways,Asia,International,12132,0
43,200507,Frontier Airlines,US,Terminal 1,19234,4
44,200507,Frontier Airlines,US,Terminal 1,18368,4
45,200507,Hawaiian Airlines,US,Terminal 1,7579,4
46,200507,Hawaiian Airlines,US,Terminal 1,7658,4
47,200507,Horizon Air ,US,Terminal 1,5284,4
48,200507,Horizon Air ,US,Terminal 1,5257,4
49,200507,Icelandair,Europe,International,4540,1
50,200507,Icelandair,Europe,International,4341,1
51,200507,Independence Air,US,International,10843,6
52,200507,Independence Air,US,International,10967,6
53,200507,Japan Airlines,Asia,International,9195,0
54,200507,Japan Airlines,Asia,International,9086,0
55,200507,KLM Royal Dutch Airlines,Europe,International,9978,1
56,200507,KLM Royal Dutch Airlines,Europe,International,9587,1
57,200507,Korean Air Lines,Asia,International,6153,0
58,200507,Korean Air Lines,Asia,International,5646,0
59,200507,Lufthansa German Airlines,Europe,International,22389,1
60,200507,Lufthansa German Airlines,Europe,International,20511,1
61,200507,Mesa Airlines,US,Terminal 1,2636,4
62,200507,Mesa Airlines,US,Terminal 1,2535,4
63,200507,Mexicana Airlines,Mexico,International,7751,3
64,200507,Mexicana Airlines,Mexico,International,7845,3
65,200507,Midwest Airlines,US,Terminal 1,1797,4
66,200507,Midwest Airlines,US,Terminal 1,3238,4
67,200507,Northwest Airlines,US,Terminal 1,64231,4
68,200507,Northwest Airlines,US,Terminal 1,62049,4
69,200507,Northwest Airlines,Asia,International,7229,0
70,200507,Northwest Airlines,Asia,International,6554,0
71,200507,Philippine Airlines,Asia,International,12828,0
72,200507,Philippine Airlines,Asia,International,10269,0
73,200507,Singapore Airlines,Asia,International,19211,0
74,200507,Singapore Airlines,Asia,International,17462,0
75,200507,SkyWest Airlines,US,Terminal 1,7262,4
76,200507,SkyWest Airlines,US,Terminal 1,6586,4
77,200507,SkyWest Airlines,US,Terminal 3,103279,7
78,200507,SkyWest Airlines,US,Terminal 3,102023,7
79,200507,SkyWest Airlines,Canada,Terminal 3,3688,11
80,200507,SkyWest Airlines,Canada,Terminal 3,3633,11
81,200507,Sun Country Airlines,US,Terminal 1,4827,4
82,200507,Sun Country Airlines,US,Terminal 1,4784,4
83,200507,TACA,Central America,International,6324,12
84,200507,TACA,Central America,International,7031,12
85,200507,US Airways,US,Terminal 1,46042,4
86,200507,US Airways,US,Terminal 1,45553,4
87,200507,US Airways,US,Terminal 1,38951,4
88,200507,US Airways,US,Terminal 1,37848,4
89,200507,United Airlines,US,Terminal 1,62178,4
90,200507,United Airlines,US,Terminal 1,60939,4
91,200507,United Airlines - Pre 07/01/2013,US,Terminal 3,58767,7
92,200507,United Airlines - Pre 07/01/2013,US,Terminal 3,58277,7
93,200507,United Airlines - Pre 07/01/2013,US,Terminal 3,443656,7
94,200507,United Airlines - Pre 07/01/2013,US,Terminal 3,421802,7
95,200507,United Airlines - Pre 07/01/2013,US,Terminal 3,11388,7
96,200507,United Airlines - Pre 07/01/2013,Asia,International,77658,0
97,200507,United Airlines - Pre 07/01/2013,Asia,International,68278,0
98,200507,United Airlines - Pre 07/01/2013,Asia,International,3953,0
99,200507,United Airlines - Pre 07/01/2013,Australia / Oceania,International,8603,8
100,200507,United Airlines - Pre 07/01/2013,Australia / Oceania,International,8234,8
101,200507,United Airlines - Pre 07/01/2013,Australia / Oceania,International,1385,8
102,200507,United Airlines - Pre 07/01/2013,Canada,Terminal 3,12874,11
103,200507,United Airlines - Pre 07/01/2013,Canada,Terminal 3,12085,11
104,200507,United Airlines - Pre 07/01/2013,Canada,Terminal 3,10,11
105,200507,United Airlines - Pre 07/01/2013,Europe,International,30796,1
106,200507,United Airlines - Pre 07/01/2013,Europe,International,29283,1
107,200507,United Airlines - Pre 07/01/2013,Europe,International,888,1
108,200507,United Airlines - Pre 07/01/2013,Mexico,International,9537,3
109,200507,United Airlines - Pre 07/01/2013,Mexico,International,9672,3
110,200507,United Airlines - Pre 07/01/2013,Mexico,International,45,3
111,200507,Virgin Atlantic,Europe,International,11684,1
112,200507,Virgin Atlantic,Europe,International,10771,1
113,200507,WestJet Airlines,Canada,International,2480,5
114,200507,WestJet Airlines,Canada,International,2211,5
115,200508,ATA Airlines,US,Terminal 1,27472,4
116,200508,ATA Airlines,US,Terminal 1,26535,4
117,200508,ATA Airlines,US,Terminal 1,5712,4
118,200508,Air Canada ,Canada,Terminal 1,34878,13
119,200508,Air Canada ,Canada,Terminal 1,34105,13
120,200508,Air China,Asia,International,4204,0
121,200508,Air China,Asia,International,3923,0
122,200508,Air France,Europe,International,11230,1
123,200508,Air France,Europe,International,11731,1
124,200508,Air New Zealand,Australia / Oceania,International,4672,8
125,200508,Air New Zealand,Australia / Oceania,International,4006,8
126,200508,AirTran Airways,US,International,7796,6
127,200508,AirTran Airways,US,International,7737,6
128,200508,Alaska Airlines,US,International,40431,6
129,200508,Alaska Airlines,US,International,39595,6
130,200508,Alaska Airlines,US,International,1902,6
131,200508,Alaska Airlines,Canada,International,8901,5
132,200508,Alaska Airlines,Canada,International,9020,5
133,200508,Alaska Airlines,Mexico,International,7541,3
134,200508,Alaska Airlines,Mexico,International,9333,3
135,200508,Alaska Airlines,Mexico,International,1902,3
136,200508,All Nippon Airways,Asia,International,6739,0
137,200508,All Nippon Airways,Asia,International,5966,0
138,200508,American Airlines,US,Terminal 3,162064,7
139,200508,American Airlines,US,Terminal 3,157700,7
140,200508,American Eagle Airlines,US,Terminal 3,5233,7
141,200508,American Eagle Airlines,US,Terminal 3,4866,7
142,200508,Asiana Airlines,Asia,International,4099,0
143,200508,Asiana Airlines,Asia,International,3376,0
144,200508,Atlantic Southeast Airlines,US,Terminal 1,1735,4
145,200508,Atlantic Southeast Airlines,US,Terminal 1,1560,4
146,200508,BelAir Airlines,Europe,International,353,1
147,200508,BelAir Airlines,Europe,International,751,1
148,200508,Boeing Company,US,Other,18,4
149,200508,British Airways,Europe,International,20312,1
150,200508,British Airways,Europe,International,20084,1
151,200508,Cathay Pacific,Asia,International,11753,0
152,200508,Cathay Pacific,Asia,International,9050,0
153,200508,China Airlines,Asia,International,14610,0
154,200508,China Airlines,Asia,International,10972,0
155,200508,Delta Air Lines,US,Terminal 1,97343,4
156,200508,Delta Air Lines,US,Terminal 1,97160,4
157,200508,EVA Airways,Asia,International,13524,0
158,200508,EVA Airways,Asia,International,11950,0
159,200508,Frontier Airlines,US,Terminal 1,17109,4
160,200508,Frontier Airlines,US,Terminal 1,17186,4
161,200508,Hawaiian Airlines,US,Terminal 1,7923,4
162,200508,Hawaiian Airlines,US,Terminal 1,7751,4
163,200508,Horizon Air ,US,Terminal 1,5572,4
164,200508,Horizon Air ,US,Terminal 1,5268,4
165,200508,Icelandair,Europe,International,4691,1
166,200508,Icelandair,Europe,International,4355,1
167,200508,Independence Air,US,International,9191,6
168,200508,Independence Air,US,International,9850,6
169,200508,Japan Airlines,Asia,International,9296,0
170,200508,Japan Airlines,Asia,International,7913,0
171,200508,KLM Royal Dutch Airlines,Europe,International,9666,1
172,200508,KLM Royal Dutch Airlines,Europe,International,9881,1
173,200508,Korean Air Lines,Asia,International,8856,0
174,200508,Korean Air Lines,Asia,International,7164,0
175,200508,Lufthansa German Airlines,Europe,International,21512,1
176,200508,Lufthansa German Airlines,Europe,International,21881,1
177,200508,Mesa Airlines,US,Terminal 1,2725,4
178,200508,Mesa Airlines,US,Terminal 1,2546,4
179,200508,Mexicana Airlines,Mexico,International,7156,3
180,200508,Mexicana Airlines,Mexico,International,5946,3
181,200508,Midwest Airlines,US,Terminal 1,1552,4
182,200508,Midwest Airlines,US,Terminal 1,3382,4
183,200508,Northwest Airlines,US,Terminal 1,56501,4
184,200508,Northwest Airlines,US,Terminal 1,56674,4
185,200508,Northwest Airlines,Asia,International,7107,0
186,200508,Northwest Airlines,Asia,International,6522,0
187,200508,Philippine Airlines,Asia,International,12856,0
188,200508,Philippine Airlines,Asia,International,8718,0
189,200508,Singapore Airlines,Asia,International,19192,0
190,200508,Singapore Airlines,Asia,International,17118,0
191,200508,SkyWest Airlines,US,Terminal 1,7052,4
192,200508,SkyWest Airlines,US,Terminal 1,6652,4
193,200508,SkyWest Airlines,US,Terminal 3,102899,7
194,200508,SkyWest Airlines,US,Terminal 3,103188,7
195,200508,SkyWest Airlines,Canada,Terminal 3,3672,11
196,200508,SkyWest Airlines,Canada,Terminal 3,3570,11
197,200508,Sun Country Airlines,US,Terminal 1,4720,4
198,200508,Sun Country Airlines,US,Terminal 1,4717,4
199,200508,TACA,Central America,International,7357,12
200,200508,TACA,Central America,International,5128,12
201,200508,US Airways,US,Terminal 1,42622,4
202,200508,US Airways,US,Terminal 1,44508,4
203,200508,US Airways,US,Terminal 1,40712,4
204,200508,US Airways,US,Terminal 1,40322,4
205,200508,United Airlines,US,Terminal 1,61872,4
206,200508,United Airlines,US,Terminal 1,61768,4
207,200508,United Airlines - Pre 07/01/2013,US,Terminal 3,55842,7
208,200508,United Airlines - Pre 07/01/2013,US,Terminal 3,27930,7
209,200508,United Airlines - Pre 07/01/2013,US,Terminal 3,56087,7
210,200508,United Airlines - Pre 07/01/2013,US,Terminal 3,26098,7
211,200508,United Airlines - Pre 07/01/2013,US,Terminal 3,676,7
212,200508,United Airlines - Pre 07/01/2013,US,Terminal 3,420430,7
213,200508,United Airlines - Pre 07/01/2013,US,Terminal 3,398135,7
214,200508,United Airlines - Pre 07/01/2013,US,Terminal 3,11585,7
215,200508,United Airlines - Pre 07/01/2013,Asia,International,79131,0
216,200508,United Airlines - Pre 07/01/2013,Asia,International,68861,0
217,200508,United Airlines - Pre 07/01/2013,Asia,International,4059,0
218,200508,United Airlines - Pre 07/01/2013,Australia / Oceania,International,8903,8
219,200508,United Airlines - Pre 07/01/2013,Australia / Oceania,International,7874,8
220,200508,United Airlines - Pre 07/01/2013,Australia / Oceania,International,1475,8
221,200508,United Airlines - Pre 07/01/2013,Canada,Terminal 3,13895,11
222,200508,United Airlines - Pre 07/01/2013,Canada,Terminal 3,12145,11
223,200508,United Airlines - Pre 07/01/2013,Europe,International,29236,1
224,200508,United Airlines - Pre 07/01/2013,Europe,International,29920,1
225,200508,United Airlines - Pre 07/01/2013,Europe,International,863,1
226,200508,United Airlines - Pre 07/01/2013,Mexico,International,9397,3
227,200508,United Airlines - Pre 07/01/2013,Mexico,International,9275,3
228,200508,United Airlines - Pre 07/01/2013,Mexico,International,78,3
229,200508,Virgin Atlantic,Europe,International,10685,1
230,200508,Virgin Atlantic,Europe,International,11072,1
231,200508,WestJet Airlines,Canada,International,2300,5
232,200508,WestJet Airlines,Canada,International,2251,5
233,200509,ATA Airlines,US,Terminal 1,17341,4
234,200509,ATA Airlines,US,Terminal 1,18541,4
235,200509,ATA Airlines,US,Terminal 1,4412,4
236,200509,Air Canada ,Canada,Terminal 1,24473,13
237,200509,Air Canada ,Canada,Terminal 1,26120,13
238,200509,Air China,Asia,International,4416,0
239,200509,Air China,Asia,International,4568,0
240,200509,Air France,Europe,International,10731,1
241,200509,Air France,Europe,International,11337,1
242,200509,Air New Zealand,Australia / Oceania,International,4565,8
243,200509,Air New Zealand,Australia / Oceania,International,4295,8
244,200509,AirTran Airways,US,International,7057,6
245,200509,AirTran Airways,US,International,6806,6
246,200509,Alaska Airlines,US,International,31117,6
247,200509,Alaska Airlines,US,International,33742,6
248,200509,Alaska Airlines,US,International,3843,6
249,200509,Alaska Airlines,Canada,International,6635,5
250,200509,Alaska Airlines,Canada,International,7783,5
251,200509,Alaska Airlines,Canada,International,161,5
252,200509,Alaska Airlines,Mexico,International,5446,3
253,200509,Alaska Airlines,Mexico,International,7674,3
254,200509,Alaska Airlines,Mexico,International,1504,3
255,200509,All Nippon Airways,Asia,International,5875,0
256,200509,All Nippon Airways,Asia,International,5960,0
257,200509,American Airlines,US,Terminal 3,135043,7
258,200509,American Airlines,US,Terminal 3,135944,7
259,200509,American Eagle Airlines,US,Terminal 3,4240,7
260,200509,American Eagle Airlines,US,Terminal 3,4166,7
261,200509,Asiana Airlines,Asia,International,4792,0
262,200509,Asiana Airlines,Asia,International,5140,0
263,200509,BelAir Airlines,Europe,International,108,1
264,200509,BelAir Airlines,Europe,International,315,1
265,200509,British Airways,Europe,International,20455,1
266,200509,British Airways,Europe,International,20635,1
267,200509,Cathay Pacific,Asia,International,8370,0
268,200509,Cathay Pacific,Asia,International,9874,0
269,200509,China Airlines,Asia,International,9154,0
270,200509,China Airlines,Asia,International,9486,0
271,200509,Delta Air Lines,US,Terminal 1,17291,4
272,200509,Delta Air Lines,US,Terminal 1,68347,4
273,200509,Delta Air Lines,US,Terminal 1,17453,4
274,200509,Delta Air Lines,US,Terminal 1,67160,4
275,200509,EVA Airways,Asia,International,9931,0
276,200509,EVA Airways,Asia,International,10752,0
277,200509,Frontier Airlines,US,Terminal 1,13426,4
278,200509,Frontier Airlines,US,Terminal 1,12989,4
279,200509,Hawaiian Airlines,US,Terminal 1,7735,4
280,200509,Hawaiian Airlines,US,Terminal 1,7624,4
281,200509,Horizon Air ,US,Terminal 1,4648,4
282,200509,Horizon Air ,US,Terminal 1,4401,4
283,200509,Icelandair,Europe,International,1996,1
284,200509,Icelandair,Europe,International,1677,1
285,200509,Independence Air,US,International,5218,6
286,200509,Independence Air,US,International,5503,6
287,200509,Japan Airlines,Asia,International,7087,0
288,200509,Japan Airlines,Asia,International,8264,0
289,200509,KLM Royal Dutch Airlines,Europe,International,9562,1
290,200509,KLM Royal Dutch Airlines,Europe,International,9513,1
291,200509,Korean Air Lines,Asia,International,4344,0
292,200509,Korean Air Lines,Asia,International,3448,0
293,200509,Lufthansa German Airlines,Europe,International,20535,1
294,200509,Lufthansa German Airlines,Europe,International,21379,1
295,200509,Mesa Airlines,US,Terminal 1,1781,4
296,200509,Mesa Airlines,US,Terminal 1,1751,4
297,200509,Mexicana Airlines,Mexico,International,3986,3
298,200509,Mexicana Airlines,Mexico,International,4823,3
299,200509,Midwest Airlines,US,Terminal 1,2913,4
300,200509,Midwest Airlines,US,Terminal 1,2867,4
301,200509,Northwest Airlines,US,Terminal 1,48138,4
302,200509,Northwest Airlines,US,Terminal 1,47061,4
303,200509,Northwest Airlines,Asia,International,5857,0
304,200509,Northwest Airlines,Asia,International,5615,0
305,200509,Philippine Airlines,Asia,International,8323,0
306,200509,Philippine Airlines,Asia,International,7875,0
307,200509,Singapore Airlines,Asia,International,15259,0
308,200509,Singapore Airlines,Asia,International,14251,0
309,200509,SkyWest Airlines,US,Terminal 1,6356,4
310,200509,SkyWest Airlines,US,Terminal 1,6666,4
311,200509,SkyWest Airlines,US,Terminal 3,96832,7
312,200509,SkyWest Airlines,US,Terminal 3,95008,7
313,200509,SkyWest Airlines,Canada,Terminal 3,3581,11
314,200509,SkyWest Airlines,Canada,Terminal 3,3457,11
315,200509,Sun Country Airlines,US,Terminal 1,3686,4
316,200509,Sun Country Airlines,US,Terminal 1,3592,4
317,200509,TACA,Central America,International,3790,12
318,200509,TACA,Central America,International,3529,12
319,200509,US Airways,US,Terminal 1,35942,4
320,200509,US Airways,US,Terminal 1,36632,4
321,200509,US Airways,US,Terminal 1,34782,4
322,200509,US Airways,US,Terminal 1,34761,4
323,200509,United Airlines,US,Terminal 1,50133,4
324,200509,United Airlines,US,Terminal 1,49094,4
325,200509,United Airlines - Pre 07/01/2013,US,Terminal 3,50351,7
326,200509,United Airlines - Pre 07/01/2013,US,Terminal 3,24678,7
327,200509,United Airlines - Pre 07/01/2013,US,Terminal 3,50235,7
328,200509,United Airlines - Pre 07/01/2013,US,Terminal 3,23767,7
329,200509,United Airlines - Pre 07/01/2013,US,Terminal 3,483,7
330,200509,United Airlines - Pre 07/01/2013,US,Terminal 3,357533,7
331,200509,United Airlines - Pre 07/01/2013,US,Terminal 3,360563,7
332,200509,United Airlines - Pre 07/01/2013,US,Terminal 3,8271,7
333,200509,United Airlines - Pre 07/01/2013,Asia,International,63027,0
334,200509,United Airlines - Pre 07/01/2013,Asia,International,62403,0
335,200509,United Airlines - Pre 07/01/2013,Asia,International,3163,0
336,200509,United Airlines - Pre 07/01/2013,Australia / Oceania,International,8048,8
337,200509,United Airlines - Pre 07/01/2013,Australia / Oceania,International,7750,8
338,200509,United Airlines - Pre 07/01/2013,Australia / Oceania,International,1264,8
339,200509,United Airlines - Pre 07/01/2013,Canada,Terminal 3,12095,11
340,200509,United Airlines - Pre 07/01/2013,Canada,Terminal 3,10220,11
341,200509,United Airlines - Pre 07/01/2013,Canada,Terminal 3,10,11
342,200509,United Airlines - Pre 07/01/2013,Europe,International,28093,1
343,200509,United Airlines - Pre 07/01/2013,Europe,International,29928,1
344,200509,United Airlines - Pre 07/01/2013,Europe,International,759,1
345,200509,United Airlines - Pre 07/01/2013,Mexico,International,5191,3
346,200509,United Airlines - Pre 07/01/2013,Mexico,International,5123,3
347,200509,United Airlines - Pre 07/01/2013,Mexico,International,96,3
348,200509,Virgin Atlantic,Europe,International,11084,1
349,200509,Virgin Atlantic,Europe,International,11623,1
350,200509,WestJet Airlines,Canada,International,2050,5
351,200509,WestJet Airlines,Canada,International,1997,5
352,200510,ATA Airlines,US,Terminal 1,17698,4
353,200510,ATA Airlines,US,Terminal 1,19983,4
354,200510,ATA Airlines,US,Terminal 1,5754,4
355,200510,Air Canada ,Canada,Terminal 1,22176,13
356,200510,Air Canada ,Canada,Terminal 1,22780,13
357,200510,Air China,Asia,International,4329,0
358,200510,Air China,Asia,International,4715,0
359,200510,Air France,Europe,International,10515,1
360,200510,Air France,Europe,International,10796,1
361,200510,Air New Zealand,Australia / Oceania,International,3178,8
362,200510,Air New Zealand,Australia / Oceania,International,4766,8
363,200510,AirTran Airways,US,International,6680,6
364,200510,AirTran Airways,US,International,6999,6
365,200510,Alaska Airlines,US,International,29388,6
366,200510,Alaska Airlines,US,International,33214,6
367,200510,Alaska Airlines,US,International,4159,6
368,200510,Alaska Airlines,Canada,International,5168,5
369,200510,Alaska Airlines,Canada,International,6093,5
370,200510,Alaska Airlines,Canada,International,793,5
371,200510,Alaska Airlines,Mexico,International,5940,3
372,200510,Alaska Airlines,Mexico,International,9998,3
373,200510,Alaska Airlines,Mexico,International,2773,3
374,200510,All Nippon Airways,Asia,International,5669,0
375,200510,All Nippon Airways,Asia,International,6001,0
376,200510,American Airlines,US,Terminal 3,138090,7
377,200510,American Airlines,US,Terminal 3,138552,7
378,200510,American Eagle Airlines,US,Terminal 3,4669,7
379,200510,American Eagle Airlines,US,Terminal 3,4524,7
380,200510,Asiana Airlines,Asia,International,4674,0
381,200510,Asiana Airlines,Asia,International,5409,0
382,200510,British Airways,Europe,International,19453,1
383,200510,British Airways,Europe,International,18988,1
384,200510,Cathay Pacific,Asia,International,9571,0
385,200510,Cathay Pacific,Asia,International,11106,0
386,200510,China Airlines,Asia,International,8919,0
387,200510,China Airlines,Asia,International,10254,0
388,200510,Delta Air Lines,US,Terminal 1,21516,4
389,200510,Delta Air Lines,US,Terminal 1,62701,4
390,200510,Delta Air Lines,US,Terminal 1,20904,4
391,200510,Delta Air Lines,US,Terminal 1,63704,4
392,200510,EVA Airways,Asia,International,10122,0
393,200510,EVA Airways,Asia,International,11311,0
394,200510,Frontier Airlines,US,Terminal 1,12585,4
395,200510,Frontier Airlines,US,Terminal 1,12490,4
396,200510,Hawaiian Airlines,US,Terminal 1,7556,4
397,200510,Hawaiian Airlines,US,Terminal 1,6962,4
398,200510,Horizon Air ,US,Terminal 1,4470,4
399,200510,Horizon Air ,US,Terminal 1,4096,4
400,200510,Icelandair,Europe,International,809,1
401,200510,Icelandair,Europe,International,975,1
402,200510,Independence Air,US,International,4550,6
403,200510,Independence Air,US,International,4446,6
404,200510,Japan Airlines,Asia,International,7147,0
405,200510,Japan Airlines,Asia,International,7924,0
406,200510,KLM Royal Dutch Airlines,Europe,International,9383,1
407,200510,KLM Royal Dutch Airlines,Europe,International,9113,1
408,200510,Korean Air Lines,Asia,International,4115,0
409,200510,Korean Air Lines,Asia,International,3812,0
410,200510,Lufthansa German Airlines,Europe,International,20840,1
411,200510,Lufthansa German Airlines,Europe,International,19478,1
412,200510,Mesa Airlines,US,Terminal 1,1502,4
413,200510,Mesa Airlines,US,Terminal 1,1735,4
414,200510,Mexicana Airlines,Mexico,International,5011,3
415,200510,Mexicana Airlines,Mexico,International,7101,3
416,200510,Miami Air International,Canada,International,28,5
417,200510,Midwest Airlines,US,Terminal 1,1594,4
418,200510,Midwest Airlines,US,Terminal 1,2984,4
419,200510,Northwest Airlines,US,Terminal 1,46907,4
420,200510,Northwest Airlines,US,Terminal 1,48977,4
421,200510,Northwest Airlines,Asia,International,6229,0
422,200510,Northwest Airlines,Asia,International,6559,0
423,200510,Philippine Airlines,Asia,International,11573,0
424,200510,Philippine Airlines,Asia,International,10360,0
425,200510,Singapore Airlines,Asia,International,14694,0
426,200510,Singapore Airlines,Asia,International,17250,0
427,200510,SkyWest Airlines,US,Terminal 1,6658,4
428,200510,SkyWest Airlines,US,Terminal 1,6553,4
429,200510,SkyWest Airlines,US,Terminal 3,102254,7
430,200510,SkyWest Airlines,US,Terminal 3,101134,7
431,200510,SkyWest Airlines,Canada,Terminal 3,3719,11
432,200510,SkyWest Airlines,Canada,Terminal 3,3508,11
433,200510,Sun Country Airlines,US,Terminal 1,3508,4
434,200510,Sun Country Airlines,US,Terminal 1,3448,4
435,200510,TACA,Central America,International,3527,12
436,200510,TACA,Central America,International,4037,12
437,200510,US Airways,US,Terminal 1,38737,4
438,200510,US Airways,US,Terminal 1,37680,4
439,200510,US Airways,US,Terminal 1,36058,4
440,200510,US Airways,US,Terminal 1,34562,4
441,200510,United Airlines,US,Terminal 1,52157,4
442,200510,United Airlines,US,Terminal 1,52204,4
443,200510,United Airlines - Pre 07/01/2013,US,Terminal 3,56427,7
444,200510,United Airlines - Pre 07/01/2013,US,Terminal 3,24678,7
445,200510,United Airlines - Pre 07/01/2013,US,Terminal 3,56155,7
446,200510,United Airlines - Pre 07/01/2013,US,Terminal 3,23767,7
447,200510,United Airlines - Pre 07/01/2013,US,Terminal 3,483,7
448,200510,United Airlines - Pre 07/01/2013,US,Terminal 3,355551,7
449,200510,United Airlines - Pre 07/01/2013,US,Terminal 3,355445,7
450,200510,United Airlines - Pre 07/01/2013,US,Terminal 3,8271,7
451,200510,United Airlines - Pre 07/01/2013,Asia,International,63128,0
452,200510,United Airlines - Pre 07/01/2013,Asia,International,68237,0
453,200510,United Airlines - Pre 07/01/2013,Asia,International,3354,0
454,200510,United Airlines - Pre 07/01/2013,Australia / Oceania,International,6280,8
455,200510,United Airlines - Pre 07/01/2013,Australia / Oceania,International,9056,8
456,200510,United Airlines - Pre 07/01/2013,Australia / Oceania,International,1046,8
457,200510,United Airlines - Pre 07/01/2013,Canada,Terminal 3,10103,11
458,200510,United Airlines - Pre 07/01/2013,Canada,Terminal 3,8022,11
459,200510,United Airlines - Pre 07/01/2013,Canada,Terminal 3,40,11
460,200510,United Airlines - Pre 07/01/2013,Europe,International,27617,1
461,200510,United Airlines - Pre 07/01/2013,Europe,International,26955,1
462,200510,United Airlines - Pre 07/01/2013,Europe,International,862,1
463,200510,United Airlines - Pre 07/01/2013,Mexico,International,7347,3
464,200510,United Airlines - Pre 07/01/2013,Mexico,International,8491,3
465,200510,United Airlines - Pre 07/01/2013,Mexico,International,230,3
466,200510,Virgin Atlantic,Europe,International,9604,1
467,200510,Virgin Atlantic,Europe,International,9751,1
468,200510,WestJet Airlines,Canada,International,1326,5
469,200510,WestJet Airlines,Canada,International,1458,5
470,200511,ATA Airlines,US,Terminal 1,16855,4
471,200511,ATA Airlines,US,Terminal 1,17376,4
472,200511,ATA Airlines,US,Terminal 1,2911,4
473,200511,ATA Airlines,Canada,International,284,5
474,200511,ATA Airlines,Canada,International,284,5
475,200511,Air Canada ,Canada,Terminal 1,18143,13
476,200511,Air Canada ,Canada,Terminal 1,18144,13
477,200511,Air China,Asia,International,4550,0
478,200511,Air China,Asia,International,4149,0
479,200511,Air France,Europe,International,7121,1
480,200511,Air France,Europe,International,7574,1
481,200511,Air New Zealand,Australia / Oceania,International,4085,8
482,200511,Air New Zealand,Australia / Oceania,International,4583,8
483,200511,AirTran Airways,US,International,5892,6
484,200511,AirTran Airways,US,International,5929,6
485,200511,Alaska Airlines,US,International,31136,6
486,200511,Alaska Airlines,US,International,34920,6
487,200511,Alaska Airlines,US,International,3923,6
488,200511,Alaska Airlines,Canada,International,5921,5
489,200511,Alaska Airlines,Canada,International,5889,5
490,200511,Alaska Airlines,Canada,International,269,5
491,200511,Alaska Airlines,Mexico,International,10845,3
492,200511,Alaska Airlines,Mexico,International,12576,3
493,200511,Alaska Airlines,Mexico,International,1253,3
494,200511,All Nippon Airways,Asia,International,5481,0
495,200511,All Nippon Airways,Asia,International,5304,0
496,200511,American Airlines,US,Terminal 3,132066,7
497,200511,American Airlines,US,Terminal 3,135008,7
498,200511,American Eagle Airlines,US,Terminal 3,4390,7
499,200511,American Eagle Airlines,US,Terminal 3,4409,7
500,200511,Asiana Airlines,Asia,International,4814,0
501,200511,Asiana Airlines,Asia,International,4569,0
502,200511,British Airways,Europe,International,15264,1
503,200511,British Airways,Europe,International,15554,1
504,200511,Cathay Pacific,Asia,International,9990,0
505,200511,Cathay Pacific,Asia,International,10097,0
506,200511,China Airlines,Asia,International,8954,0
507,200511,China Airlines,Asia,International,10234,0
508,200511,Delta Air Lines,US,Terminal 1,21390,4
509,200511,Delta Air Lines,US,Terminal 1,55102,4
510,200511,Delta Air Lines,US,Terminal 1,20550,4
511,200511,Delta Air Lines,US,Terminal 1,58191,4
512,200511,EVA Airways,Asia,International,10713,0
